Name,Username,Url,Followers,Following,Tweets,Bio,Can_DM,Location,Joined_X,Translator,Likes,BlueTick,DefaultPic,RawScore,TotalScore
halgonomics,https://x.com/halgonomics,127,397,7,72
JavyGarrido,https://x.com/JavyGarrido,69,224,238,94
QuantumRides,https://x.com/QuantumRides,958,528,5199,100
p_assp,https://x.com/p_assp,30,43,2,78
DavidJD342120,https://x.com/DavidJD342120,299,243,6,83
Prajwal_vv,https://x.com/Prajwal_vv,789,3986,247,94
anwaarsulehri1,https://x.com/anwaarsulehri1,7,32,8,83
Pleb2424,https://x.com/Pleb2424,214,158,268,89
kodeytaylor_,https://x.com/kodeytaylor_,192,966,88,94
dandan202415,https://x.com/dandan202415,9,80,9,72
Huss1502,https://x.com/Huss1502,10,235,5,67
Michi84922253,https://x.com/Michi84922253,44,20,1,89
MalikNomanbodla,https://x.com/MalikNomanbodla,10,60,0,83
BTCKID152127,https://x.com/BTCKID152127,136,308,0,89
mashmuzib,https://x.com/mashmuzib,172,623,80,94
ov17791,https://x.com/ov17791,36,155,7,83
ChrstphLk,https://x.com/ChrstphLk,10,3,0,78
JasperDLT,https://x.com/JasperDLT,3123,229,13872,100
AbdullNew89504,https://x.com/AbdullNew89504,6,419,156,89
UUdoh18503,https://x.com/UUdoh18503,85,141,3,78
regfuse,https://x.com/regfuse,213,510,36,94
kschwab1979,https://x.com/kschwab1979,6,17,0,78
ruththomasr1210,https://x.com/ruththomasr1210,26,333,3,67
DionP82,https://x.com/DionP82,277,1695,0,83
MsCryptoMaxine,https://x.com/MsCryptoMaxine,14,63,54,94
criticall0gic,https://x.com/criticall0gic,135,462,47,89
HannsD25103,https://x.com/HannsD25103,8,3,0,78
AndreaBasso_,https://x.com/AndreaBasso_,0,33,0,78
pocemgangukaji,https://x.com/pocemgangukaji,77,101,17,94
RitharetwH4Li,https://x.com/RitharetwH4Li,6,261,9,67
9879879799834b,https://x.com/9879879799834b,0,769,0,89
runwithrich,https://x.com/runwithrich,58,59,77,100
NFT_ProjectBSV,https://x.com/NFT_ProjectBSV,841,3905,3497,94
watson_21Colors,https://x.com/watson_21Colors,297,89,274,89
JuliusBeckereit,https://x.com/JuliusBeckereit,28,18,0,89
wakiyaqui,https://x.com/wakiyaqui,336,1417,601,2515
CryptoSingh9,https://x.com/CryptoSingh9,453,965,520,578
,,453,965,520,100
False,the moon,2021,965,2311,100
silentkillerope,https://x.com/silentkillerope,0,127,0,78
Orlando04960287,https://x.com/Orlando04960287,73,375,22,89
VenturesofChris,https://x.com/VenturesofChris,10,6,0,78
ZacAusBtc,https://x.com/ZacAusBtc,177,210,109,89
BobandAliceGrok,https://x.com/BobandAliceGrok,82,146,11,94
WBTM21,https://x.com/WBTM21,398,168,934,100
shazad_omar,https://x.com/shazad_omar,9,76,118,94
kylehart1202,https://x.com/kylehart1202,301,247,217,100
SaiduIbrah1214,https://x.com/SaiduIbrah1214,9,163,44,72
